Sentence,Word,Surprisal GPT-2
0,još,20.359610078050572
0,malo,30.317090581627884
0,pa,14.463783618756507
0,će,33.93518833849315
0,izbori,41.82794108801804
1,naoblačilo,65.20695558929772
1,se,14.241238895228909
1,kao,20.4929091256807
1,da,8.77624233862592
1,će,31.99327706451932
1,padati,12.753359128279794
1,kiša,35.940882173050596
2,naša,35.17870373531307
2,kola,26.489100526862533
2,su,14.048835632046018
2,stara,19.669202493465622
2,10,8.623137892152867
2,godina,25.78677620245875
3,otišao,38.21625926077025
3,je,15.691330176100593
3,u,15.030842923302298
3,inostranstvo,60.076588724090996
3,prošle,28.398274316462956
3,godine,16.494682099445694
3,i,13.956466676036438
3,još,25.391193035391552
3,se,12.874408380655144
3,nije,41.71329306705859
3,vratio,41.99310811671316
4,telefoni,33.47751796069022
4,zvone,41.081084094355305
4,po,7.701532813165655
4,ceo,20.649931383860732
4,dan,12.204101147554558
4,i,13.075794044616442
4,tebe,12.501139231336117
4,traže,38.94680027959777
5,popeću,47.40026452715406
5,se,13.577796226396027
5,na,13.606677631390935
5,drvo,20.371833281654308
5,ako,21.554814612693523
5,me,13.436165076719503
5,mama,12.267224858031819
5,ne,4.908058486430667
5,vidi,21.50910628957864
6,uvek,20.220307492400394
6,se,15.815288218909007
6,setim,29.967476314727826
6,tebe,23.79830410676956
6,kad,21.75760651801093
6,čujem,40.88471070570903
6,tu,5.724946429811173
6,pesmu,24.664423596567588
7,da,8.85997519485246
7,da,9.098328117642732
7,tako,27.900352175188985
7,smo,26.735378866542206
7,se,8.428821854049637
7,dogovrili,45.52661269579943
8,znam,18.67313770872314
8,znam,28.641480384803156
8,pa,7.785006688725342
8,meni,22.657436566441046
8,je,10.972184085615243
8,100,8.85496251660121
8,puta,24.046385840724227
8,pričao,16.17665472530475
9,mirjana,34.0036114225178
9,je,15.02039294894949
9,rekla,37.972020288673086
9,da,11.293443066578815
9,će,35.74932887803575
9,se,5.735230272728978
9,uskoro,22.694538267317952
9,vratiti,38.13852892186281
10,na,8.776305078828011
10,more,9.891273126364938
10,idemo,30.801862397337796
10,u,14.550413161159682
10,isto,23.233603432888234
10,mesto,34.99288373942532
10,kao,19.07200725004832
10,i,7.3490169803043015
10,prošle,28.48100558857796
10,godine,23.242883491027854
11,na,10.110364957856483
11,slavi,24.706514178216597
11,ćemo,38.41636765283229
11,imati,20.416947770840075
11,preko,20.82935300498772
11,50,13.17138147278388
11,gostiju,26.576368549680623
12,raspitaću,61.16526529098752
12,se,13.571267462274943
12,pa,8.730431543046898
12,ću,29.80834734524249
12,ti,13.270545834400599
12,javiti,17.306406912338005
13,sećam,36.37704589780119
13,se,16.040071183822757
13,kad,30.018457105477022
13,je,9.280857399250616
13,ulicom,34.79638837855892
13,kneza,19.47002382179482
13,miloša,37.19038993765746
13,saobraćao,67.95360568164611
13,tramvaj,43.327926165941086
14,na,10.242897533742127
14,mlade,25.417681689123892
14,najviše,62.665609267179285
14,uticaja,34.66021359387954
14,imaju,19.042917624805185
14,lica,21.641462544245055
14,sa,12.258188343678507
14,estrade,23.75337057990572
14,kao,25.68019959162058
14,i,13.275963763611651
14,iz,27.09661798579964
14,sporta,22.52071337304541
15,čim,21.40023808491587
15,mu,14.25889258250959
15,plate,15.266702639786045
15,on,14.16067566986806
15,će,34.79204509299237
15,doneti,37.27271683971188
15,robu,12.658987268559413
16,nazvaću,62.945554330728804
16,te,13.627160971499308
16,ponovo,27.55500031434619
16,otprilike,38.87135662512085
16,za,14.43831373472367
16,sat,12.35442280924405
16,vremena,35.1060754586323
17,otvara,36.97593456907716
17,se,15.600764587732671
17,igraonica,37.91734107641016
17,prekoputa,47.18528709520838
17,naše,18.015574587208338
17,zgrade,22.966164005141714
18,javio,35.18759664855723
18,se,14.885999731569788
18,i,13.28597841129547
18,otišao,42.96755702845822
