Sentence,Word,Surprisal BERT
0,još,2.8149608112551485
0,malo,0.0013971754527030773
0,pa,0.01517713543550404
0,će,0.0005526861087442237
0,izbori,0.03180798863462854
1,naoblačilo,7.157906684270194
1,se,8.599135105882653e-07
1,kao,0.004223534800980994
1,da,0.00010955710833393459
1,će,1.3758618629646341e-06
1,padati,0.0004658577671113478
1,kiša,4.943758073915277
2,naša,6.999831122921333
2,kola,0.0027758890768411386
2,su,0.0009535288837110501
2,stara,0.008366575624972509
2,10,5.744334897516407e-05
2,godina,4.635532270533911
3,otišao,10.24213873602091
3,je,0.00015100867031374803
3,u,5.331560690945974e-05
3,inostranstvo,0.022738963632265092
3,prošle,0.04061442742746116
3,godine,0.005414530668845675
3,i,0.00015599669788643117
3,još,0.004771457144871467
3,se,2.940933305007595e-05
3,nije,0.0004988359179904405
3,vratio,7.1941323640649975
4,telefoni,10.083886487883415
4,zvone,0.004190231044241316
4,po,0.00021138216290040438
4,ceo,4.027996773346839
4,dan,0.04478032315499739
4,i,4.9875830876224796e-05
4,tebe,0.0030212538772958508
4,traže,0.1874300131113419
5,popeću,6.2587313393337585
5,se,0.002274542803291522
5,na,6.7073389754153415e-06
5,drvo,0.13346313643251725
5,ako,0.009496163750313235
5,me,0.0023033956387085493
5,mama,0.0007269818168145328
5,ne,8.754182522682181e-05
5,vidi,0.11655842593889773
6,uvek,10.298150492516983
6,se,7.75662606703566e-05
6,setim,0.003975642378182746
6,tebe,0.010818523866998823
6,kad,0.0005248145130672126
6,čujem,0.010749929805673547
6,tu,4.402823044177721e-05
6,pesmu,0.02503485430514012
7,da,6.065272504066295
7,da,0.00025550285143673563
7,tako,0.0005667081336137605
7,smo,0.0007003113163077132
7,se,0.00026995202519102186
7,dogovrili,1.4405703085530923
8,znam,7.4083151519720545
8,znam,0.049976596146987504
8,pa,0.006417164856579868
8,meni,0.36643532951982094
8,je,7.739240047104371e-06
8,100,0.004872662673976526
8,puta,0.00021000610074524672
8,pričao,0.7385779909486571
9,mirjana,12.272690777050917
9,je,5.159480448471312e-07
9,rekla,0.1836424079772476
9,da,0.0008364220651768286
9,će,4.1275895252744015e-06
9,se,1.7198266111377426e-07
9,uskoro,0.46908263901386527
9,vratiti,12.739254602920761
10,na,2.687024008346408
10,more,0.0023241528115213626
10,idemo,0.007031569666110173
10,u,6.827872808782468e-05
10,isto,0.0013599056132963846
10,mesto,5.967921419185635e-05
10,kao,0.0012690160004978975
10,i,1.1178915616632623e-05
10,prošle,0.05682312049349178
10,godine,8.481071480779097
11,na,4.783996807754413
11,slavi,0.8274942494136351
11,ćemo,0.04593456200068225
11,imati,1.3758618629646341e-06
11,preko,6.7073389754153415e-06
11,50,0.026376372435085393
11,gostiju,6.405797511036645
12,raspitaću,5.8071754863352405
12,se,5.4691519619137366e-05
12,pa,0.00011316902279856328
12,ću,0.0008381428900936398
12,ti,0.0005017606371143634
12,javiti,0.8510743223012273
13,sećam,2.228891765927194
13,se,7.3952729411994815e-06
13,kad,9.648549347177704e-05
13,je,2.0637932864940443e-06
13,ulicom,2.437873459120648
13,kneza,0.02840222187544101
13,miloša,0.03972046235040416
13,saobraćao,0.12322439433771938
13,tramvaj,0.6326100586967754
14,na,4.304168088976258
14,mlade,0.002505984630873686
14,najviše,0.0002653076321308577
14,uticaja,0.05233990539561814
14,imaju,0.0006671029306455535
14,lica,0.0006645220000423784
14,sa,0.0027463375488801277
14,estrade,9.733103885852337
14,kao,7.051305917303151e-06
14,i,3.1645154820496564e-05
14,iz,0.019390319508022568
14,sporta,11.890228156581903
15,čim,0.8536842864101776
15,mu,0.0002902499184704445
15,plate,0.8396158179326485
15,on,0.010075274505981608
15,će,0.010026089974866228
15,doneti,0.0030665204204378604
15,robu,0.05359559088489389
16,nazvaću,4.92827747039166
16,te,0.01706394071350822
16,ponovo,0.02731682807674195
16,otprilike,2.9610541939119903
16,za,0.0005172445430270687
16,sat,0.0025357035210971587
16,vremena,11.07387632480382
17,otvara,6.29563371662438
17,se,2.0637932864940443e-06
17,igraonica,4.779857497340953
17,prekoputa,0.07307327674063221
17,naše,0.0029468345742763706
17,zgrade,8.874548533090897
18,javio,2.26346330653555
18,se,3.147316840744737e-05
18,i,0.0010007701074158345
18,otišao,0.04471197133449801
18,je,2.356181557065818e-05
18,na,4.488817019565192e-05
18,aerodrom,4.854330579050839
19,samo,4.245974656008555
19,što,7.189053920973146e-05
19,sam,0.0006843092526626855
19,stigao,0.03974519174963833
19,odmah,0.0015555614913834918
19,sam,0.00032964240762353795
19,morao,0.0065542247850675014
19,da,1.1866851714644895e-05
19,odem,0.0015769188495447259
19,na,6.879470055163437e-05
19,sastanak,4.711288894626764
20,taman,3.6100495577693676
20,sam,0.001081402144512681
20,krenula,4.042634409867858
20,da,0.003918955136469018
20,učim,0.008204545560688122
20,a,0.0001933214515496983
20,on,7.533036773246141e-05
20,me,2.528167119251936e-05
20,pozvao,6.6218812867847285
21,strpi,5.524831330168621
21,se,4.5232146240724205e-05
21,još,0.012568302558023239
21,malo,0.002577741721402973
21,samo,0.028757829501946296
21,što,0.00011815691954452914
21,nismao,3.504523546270706
21,stigli,1.609533060054741
22,ovi,8.018546210016632
22,klinci,1.4601182844214897
22,su,5.159488751774586e-06
22,nemogući,2.56577350275262
22,niko,0.00034942506771158167
22,ih,0.0016038554764956784
22,ne,0.00017027287211533984
22,može,0.00018042108186749922
22,obuzdati,2.0001404834840364
23,milan,9.676585090380826
23,je,4.11044391126944e-05
23,ušao,0.44739466928403965
23,u,1.4618599387059818e-05
23,voz,0.4872407329408306
23,nekoliko,1.0147012084681539e-05
23,minuta,0.001293459234984088
23,pre,0.0024426725147928753
23,nas,9.925493783589914
24,kompjuteri,7.218334340093485
24,su,2.751725038055267e-06
24,prodrli,0.09997158238542818
24,u,2.7001528864645356e-05
24,sve,1.8918103998587215e-06
24,oblasti,0.0002175744588409371
24,i,5.331560690945974e-05
24,bez,0.00021447830754837047
24,njih,5.503549800159152e-05
24,se,1.7198275337253821e-06
24,ne,1.6854398235588073e-05
24,može,0.04084721862128527
25,imamo,3.3801017082420355
25,još,0.00016270476215839605
25,četiri,0.0001993416635447253
25,minuta,0.0005535463517447088
25,vremena,0.0003692079990690174
25,do,0.00010267729627456687
